序号,项目名称,单位,工程量,劳务单价,材料单价,机械单价,综合单价,劳务合价,材料合价,机械合价,管理费,利润,税金,合价
1,拆除砖墙,m²,200.0,45,5,2,52,9000.0,1000.0,400.0,624.0,1322.8799999999999,1111.2191999999998,13458.099199999999
2,砌轻质砖墙,m²,150.0,55,60,3,118,8250.0,9000.0,450.0,1062.0,2251.44,1891.2096,22904.649599999997
3,地面找平,m²,500.0,20,10,2,32,10000.0,5000.0,1000.0,960.0,2035.1999999999998,1709.568,20704.768
4,地砖铺贴,m²,500.0,45,55,3,103,22500.0,27500.0,1500.0,3090.0,6550.8,5502.6720000000005,66643.47200000001
5,墙砖铺贴,m²,300.0,40,48,3,91,12000.0,14400.0,900.0,1638.0,3472.56,2916.9504,35327.5104
6,乳胶漆,m²,1200.0,22,25,2,49,26400.0,30000.0,2400.0,3528.0,7479.36,6282.6624,76090.0224
7,石膏板平顶,m²,800.0,50,65,5,120,40000.0,52000.0,4000.0,5760.0,12211.199999999999,10257.408,124228.608
8,防水工程,m²,200.0,30,40,3,73,6000.0,8000.0,600.0,876.0,1857.12,1559.9807999999998,18893.1008
9,强电布线_暗敷_2.5mm²,m,800.0,18,12,1,31,14400.0,9600.0,800.0,1488.0,3154.56,2649.8304,32092.3904
10,弱电布线_网线,m,500.0,12,8,0,20,6000.0,4000.0,0.0,600.0,1272.0,1068.48,12940.48
11,PPR给水管_Φ20,m,300.0,22,15,1,38,6600.0,4500.0,300.0,684.0,1450.08,1218.0672,14752.1472
12,排水管_PVC_Φ110,m,150.0,28,28,0,56,4200.0,4200.0,0.0,504.0,1068.48,897.5232,10870.0032
13,配电箱安装,台,5.0,180,450,15,645,900.0,2250.0,75.0,193.5,410.21999999999997,344.5848,4173.3048
14,多联机室内机安装,台,10.0,500,320,60,880,5000.0,3200.0,600.0,528.0,1119.36,940.2624000000001,11387.6224
15,多联机室外机安装,台,2.0,1200,800,150,2150,2400.0,1600.0,300.0,258.0,546.96,459.4464,5564.4064
16,铜管安装_含保温,m,200.0,55,85,5,145,11000.0,17000.0,1000.0,1740.0,3688.7999999999997,3098.592,37527.392
17,风管制作安装_镀锌,m²,150.0,45,85,8,138,6750.0,12750.0,1200.0,1242.0,2633.04,2211.7536,26786.7936
18,风口安装,个,30.0,65,120,5,190,1950.0,3600.0,150.0,342.0,725.04,609.0336,7376.0736
19,系统调试_多联机,系统,2.0,800,200,100,1100,1600.0,400.0,200.0,132.0,279.84,235.06560000000002,2846.9056
20,镀锌钢管安装_DN100,m,150.0,35,85,8,128,5250.0,12750.0,1200.0,1152.0,2442.24,2051.4815999999996,24845.721599999997
21,镀锌钢管安装_DN65,m,80.0,22,52,5,79,1760.0,4160.0,400.0,379.2,803.904,675.2793599999999,8178.383359999999
22,喷淋头安装,个,80.0,45,55,5,105,3600.0,4400.0,400.0,504.0,1068.48,897.5232,10870.0032
23,消火栓箱安装,套,6.0,280,650,30,960,1680.0,3900.0,180.0,345.59999999999997,732.672,615.44448,7453.716480000001
24,烟感探测器安装,个,50.0,55,85,5,145,2750.0,4250.0,250.0,435.0,922.1999999999999,774.648,9381.848
25,手报按钮安装,个,15.0,35,65,3,103,525.0,975.0,45.0,92.7,196.524,165.08016,1999.3041600000001
26,消防线缆敷设_NH-RVS,m,600.0,8,4.5,0,12.5,4800.0,2700.0,0.0,450.0,954.0,801.36,9705.36
27,系统调试_自动报警,系统,1.0,2000,800,300,3100,2000.0,800.0,300.0,186.0,394.32,331.2288,4011.5488
28,系统调试_自动喷淋,系统,1.0,2500,1000,400,3900,2500.0,1000.0,400.0,234.0,496.08,416.7072,5046.7872
